Binomial,Common_name,Family,Class,Binomial2,Mass_g,MinAge_mo
Capreolus_capreolus,European roe deer,Cervidae,Mammalia,Capreolus capreolus,21666.7,13.58
Cervus_elaphus,Red deer / Elk,Cervidae,Mammalia,Cervus elaphus,160166.7,28.01
Halichoerus_grypus,Grey seal,Phocidae,Mammalia,Halichoerus grypus,197570.0,49.29
Lynx_lynx,Eurasian lynx,Felidae,Mammalia,Lynx lynx,21150.0,21.01
Myodes_glareolus,Bank vole,Cricetidae,Mammalia,Myodes glareolus,20.8,1.55
Myodes_rufocanus,Grey-sided vole / Grey red-backed vole,Cricetidae,Mammalia,Myodes rufocanus,27.5,2.82
Odocoileus_virginianus,White-tailed deer,Cervidae,Mammalia,Odocoileus virginianus,65320.0,10.16
Orcinus_orca,Killer whale / Orca,Delphinidae,Mammalia,Orcinus orca,4300000.0,138.31
Ovibos_moschatus,Musk ox,Bovidae,Mammalia,Ovibos moschatus,312500.0,37.35
Pan_troglodytes,Chimpanzee,Hominidae,Mammalia,Pan troglodytes,44983.5,119.57
Panthera_leo,African lion / Asiatic lion,Felidae,Mammalia,Panthera leo,149062.0,36.00
Rupicapra_rupicapra,Tatra chamois / Alpine chamois,Bovidae,Mammalia,Rupicapra rupicapra,35383.2,22.16
Sus_scrofa,Wild boar / Wild pig,Suidae,Mammalia,Sus scrofa,135000.0,10.98
Petromyzon_marinus,Sea lamprey,Petromyzontidae,Petromyzonti,Petromyzon marinus,2500.0,84.00
