ID,Binomial,Common_name,Class,Citation,Location,Units,Method,TaxonomicGroup,exclude_manual,notes
13025,Scolopax_minor,American woodcock,Aves,"Cooper, T. R. and R. D. Rau (2014). American woodcock population status, 2014. U.S. Fish and Wildlife Service. Laurel, Maryland: 16 pp.",Nova Scotia,Singing males per route,Annual surveys of set routes,Birds,no,
13028,Scolopax_minor,American woodcock,Aves,"Cooper, T. R. and R. D. Rau (2014). American woodcock population status, 2014. U.S. Fish and Wildlife Service. Laurel, Maryland: 16 pp.",Prince Edward Island,Singing males per route,Annual surveys of set routes,Birds,no,
13030,Scolopax_minor,American woodcock,Aves,"Cooper, T. R. and R. D. Rau (2014). American woodcock population status, 2014. U.S. Fish and Wildlife Service. Laurel, Maryland: 16 pp.",Qu?«bec,Singing-males per route,Table 2,Birds,no,
13040,Scolopax_minor,American woodcock,Aves,"Cooper, T. R. and R. D. Rau (2014). American woodcock population status, 2014. U.S. Fish and Wildlife Service. Laurel, Maryland: 16 pp.",Ontario,Singing males per route,Annual surveys of set routes,Birds,no,
23029,Anas_acuta,Northern pintail,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23030,Anas_crecca,Common teal,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23031,Anas_platyrhynchos,Mallard,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23032,Aythya_ferina,Common pochard,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23033,Aythya_fuligula,Tufted duck,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23034,Mareca_penelope,Eurasian wigeon,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23035,Mareca_strepera,Gadwall,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23036,Netta_rufina,Red-crested pochard,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
