"Binomial","Common_name","Family","Class","Binomial2","Mass_g","MinAge_mo","age.maturity","length.max"
"Sphyrna_zygaena","Smooth hammerhead","Sphyrnidae","Elasmobranchii","Sphyrna zygaena",NA,NA,NA,NA
"Alces_alces","Elk / moose","Cervidae","Mammalia","Alces alces",351000,23.3948607123288,NA,NA
"Antilocapra_americana","Pronghorn","Antilocapridae","Mammalia","Antilocapra americana",45375,17.7810410958904,NA,NA
"Bison_bonasus","European bison","Bovidae","Mammalia","Bison bonasus",624577.07,29.9835616438356,NA,NA
"Canis_lupus","Grey wolf / Gray wolf","Canidae","Mammalia","Canis lupus",29190.755,22.0242647671233,NA,NA
"Capra_ibex","Alpine ibex","Bovidae","Mammalia","Capra ibex",77000,26.8855890410959,NA,NA
"Capreolus_capreolus","European roe deer","Cervidae","Mammalia","Capreolus capreolus",21666.685,13.5780821917808,NA,NA
"Cervus_elaphus","Red deer / Elk","Cervidae","Mammalia","Cervus elaphus",160166.665,28.0109589041096,NA,NA
"Halichoerus_grypus","Grey seal","Phocidae","Mammalia","Halichoerus grypus",197570.01,49.2924940273973,NA,NA
"Lynx_lynx","Eurasian lynx","Felidae","Mammalia","Lynx lynx",21150,21.0082191780822,NA,NA
"Myodes_glareolus","Bank vole","Cricetidae","Mammalia","Myodes glareolus",20.8,1.54520547945205,NA,NA
"Myodes_rufocanus","Grey-sided vole / Grey red-backed vole","Cricetidae","Mammalia","Myodes rufocanus",27.5,2.82386432876712,NA,NA
"Odocoileus_virginianus","White-tailed deer","Cervidae","Mammalia","Odocoileus virginianus",65320,10.158904109589,NA,NA
"Orcinus_orca","Killer whale / Orca","Delphinidae","Mammalia","Orcinus orca",4300000,138.30785490411,NA,NA
"Ovibos_moschatus","Musk ox","Bovidae","Mammalia","Ovibos moschatus",312500,37.3537275616438,NA,NA
"Pan_troglodytes","Chimpanzee","Hominidae","Mammalia","Pan troglodytes",44983.5,119.571945205479,NA,NA
"Panthera_leo","African lion / Asiatic lion","Felidae","Mammalia","Panthera leo",149061.965,36,NA,NA
"Rupicapra_rupicapra","Tatra chamois / Alpine chamois","Bovidae","Mammalia","Rupicapra rupicapra",35383.175,22.158904109589,NA,NA
"Sus_scrofa","Wild boar / Wild pig","Suidae","Mammalia","Sus scrofa",135000,10.9808219178082,NA,NA
"Petromyzon_marinus","Sea lamprey","Petromyzontidae","Petromyzonti","Petromyzon marinus",NA,84,7,105.52
