"Id","Loc","Name","smap1dR2","loglinearR2","rickerR2","best1dR2","best1dmodel","ARmodR2"
"GPDD_1176","William Trelease Woods","Red-bellied woodpecker",0.413094689441697,0.412506628639737,0.36879816817278,0.413094689441697,"1dsmap",0.413094689441697
"GPDD_1178","William Trelease Woods","Hairy woodpecker",0.287949566135624,0.282997058209027,0.265897484606991,0.287949566135624,"1dsmap",0.282997058209027
"GPDD_1179","William Trelease Woods","Downy woodpecker",0.373476192018863,0.373476192018863,0.370989810087744,0.373476192018863,"1dsmap",0.379670719351022
"GPDD_1180","William Trelease Woods","Blue jay",0.298814313614002,0.240581007744542,0.257551198902414,0.298814313614002,"1dsmap",0.28000048185817
"GPDD_1181","William Trelease Woods","Common crow or American crow",0.21809016789902,-0.100856917692405,0.0636930749300868,0.21809016789902,"1dsmap",0.293949760449336
"GPDD_1183","William Trelease Woods","White-breasted nuthatch",0.0194353281361082,-0.177329477374918,-0.25733063350517,0.0194353281361082,"1dsmap",-0.0703588000567632
"GPDD_1184","William Trelease Woods","Brown creeper",-0.00663702511304143,-0.223664376101461,-0.255976384654191,-0.00663702511304143,"1dsmap",0.0547396285503629
"GPDD_1187","William Trelease Woods","Cardinal",0.379500160118892,0.214180365177453,0.00958195817729646,0.379500160118892,"1dsmap",0.379500160118892
"GPDD_1188","William Trelease Woods","Dark-eyed junco",0.102101552226145,-0.141074308213454,-0.0764095423087898,0.102101552226145,"1dsmap",-0.0403208184366162
"GPDD_1189","William Trelease Woods","American tree sparrow",0.0786877948998379,-0.191798028365852,-0.155557426877482,0.0786877948998379,"1dsmap",-0.043128908379154
"GPDD_1213","William Trelease Woods","Common flicker",0.247108351818757,0.174881874905096,0.138859593858958,0.247108351818757,"1dsmap",0.268457700730607
"GPDD_1347","Aransas","Whooping crane",0.966462902470336,0.966462902470336,0.966237773441146,0.966462902470336,"loglinear",0.966462902470336
"GPDD_1869","Kodiak Archipelago","Pink salmon",0.0992648590299809,-0.0672063740435176,-0.130609415209258,0.0992648590299809,"1dsmap",0.0992648590299809
"GPDD_2721","USA","Snowshoe hare or American varying hare",0.370499600224762,0.258053649241029,0.2409867145339,0.370499600224762,"1dsmap",0.437371749411781
"GPDD_2722","USA","Canadian lynx",0.546514212586433,0.473604365382819,0.466823814715866,0.546514212586433,"1dsmap",0.844501489167432
"GPDD_2726","Nebraska","Northern bobwhite or Bobwhite quail",0.373875111037911,0.359848412980871,0.373875111037911,0.373875111037911,"ricker",0.373875111037911
"GPDD_2759","Skeena River","Sockeye salmon",0.123870808266441,0.00704990183489751,-0.0567583120316386,0.123870808266441,"1dsmap",0.197113225107962
"GPDD_5019","Queens Gate","Barbary macaque",0.486178395750412,0.453139799957237,0.424328252289283,0.486178395750412,"1dsmap",0.486178395750412
"GPDD_5039","Central Illinois","Red-tailed hawk",0.104617625730686,-0.044273658257,-0.0399921563341565,0.104617625730686,"1dsmap",-0.00548168341797184
"GPDD_6524","Vasser, Hopland Field Station, Northern ","California vole",0.215435179493855,0.16582544232499,0.140594960760054,0.215435179493855,"1dsmap",0.309204748892823
"GPDD_6525","Neiderost, Hopland Field Station, Northe","California vole",0.37897736452322,0.350884019728536,0.259400705301781,0.37897736452322,"1dsmap",0.391623128114341
"GPDD_6768","Illinois State","Chinch bug",0.189657463378821,0.116335882829583,0.116714175352623,0.189657463378821,"1dsmap",0.172366463515805
"GPDD_6789","Hinkley Point","Twaite shad",0.0140004830751917,-0.0220566639896924,-0.00801274811737662,0.0140004830751917,"1dsmap",0.0140004830751917
"GPDD_6791","Hinkley Point","Common eel",0.0381060461469248,-0.0262721490768338,0.00180460804463323,0.0381060461469248,"1dsmap",0.0416482255270944
"GPDD_6798","Hinkley Point","5-bearded rockling",0.0932256888820084,0.0425730741046926,0.0932256888820084,0.0932256888820084,"ricker",0.106611227160468
"GPDD_6801","Hinkley Point","Conger",0.0197915601543334,-0.00511129569493018,0.00451996021649659,0.0197915601543334,"1dsmap",0.0197915601543334
"GPDD_6807","Hinkley Point","Bass",0.156223778668735,0.14997347811003,0.131942408413898,0.156223778668735,"1dsmap",0.156223778668735
"GPDD_6820","Hinkley Point","Dab",0.207606058657504,0.145788997668366,0.163243810621302,0.207606058657504,"1dsmap",0.278773827591
"GPDD_6821","Hinkley Point","Common sea snail",0.17620060335822,0.0536348292125142,0.105171829424761,0.17620060335822,"1dsmap",0.137313004931529
"GPDD_6822","Hinkley Point","Thinlipped grey mullet",0.05777016907647,0.0136064523794136,0.00958612060548569,0.05777016907647,"1dsmap",0.0892457347613157
"GPDD_6825","Hinkley Point","Whiting",0.276917299090145,0.122772136581946,0.147268335552022,0.276917299090145,"1dsmap",0.260672152519954
"GPDD_6832","Hinkley Point","Flounder",0.197895571878183,0.0540841285446843,0.0576035357818753,0.197895571878183,"1dsmap",0.231415115795163
"GPDD_6837","Hinkley Point","Sand goby",0.0612032311483487,0.0318392805637228,0.0431587257102085,0.0612032311483487,"1dsmap",0.0710740995422917
"GPDD_6848","Hinkley Point","Sole",0.14389510537317,0.0812617613288671,0.14389510537317,0.14389510537317,"ricker",0.191500808622862
"GPDD_6851","Hinkley Point","Sprat",0.196794280361568,-0.0398825806008118,0.00372124305072108,0.196794280361568,"1dsmap",0.167474255019169
"GPDD_6859","Hinkley Point","Pout",0.235000164819334,0.1523744905593,0.235000164819334,0.235000164819334,"1dsmap",0.235000164819334
"GPDD_6860","Hinkley Point","Poor-cod",0.0750695724813599,0.0113255019385747,0.00589578255490142,0.0750695724813599,"1dsmap",0.0750695724813599
