"Site","Name","Level","data_rescale_case","tslength","ndatapoints","longestrun","propmissing","nruns10","effectivenE2","Country","Type","Redistributable","Lat","Lon","Mass_g","MinAge_mo","SamplingInterval","mo_timestep","monotonic"
"Lake Muggelsee","Eubosmina coregoni","SP",3,464,449,381,0.0323275862068966,4,434,"Germany","Lake","no",52.437,13.646,NA,NA,"monthly",1,-0.269292955588163
"Lake Muggelsee","Eubosmina longicornis berolinensis","SP",3,368,318,244,0.135869565217391,2,314,"Germany","Lake","no",52.437,13.646,2e-05,0.1,"monthly",1,-0.0434389513138047
"Lake Muggelsee","Eudiaptomus gracilis","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,5e-05,0.65,"monthly",1,-0.14306025130929
"Lake Muggelsee","Eudiaptomus graciloides","SP",3,417,394,304,0.0551558752997602,4,384,"Germany","Lake","no",52.437,13.646,5e-05,0.65,"monthly",1,-0.148435908893689
"Lake Muggelsee","Kellicottia longispina","SP",3,432,417,336,0.0347222222222222,5,402,"Germany","Lake","no",52.437,13.646,2.5e-06,0.167,"monthly",1,-0.229926437296868
"Lake Muggelsee","Keratella cochlearis","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,2.75e-06,0.143,"monthly",1,-0.169163202388894
"Lake Muggelsee","Keratella quadrata","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,8.75e-06,0.077,"monthly",1,-0.214202768390308
"Lake Muggelsee","Leptodora kindtii","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,0.000185,0.2,"monthly",1,-0.038308238084762
"Lake Muggelsee","Mesocyclops leuckarti","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,3.6e-05,NA,"monthly",1,-0.0196424949177116
"Lake Muggelsee","Polyarthra dolichoptera/vulgaris","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,1.4e-06,NA,"monthly",1,0.0284697251494741
"Lake Muggelsee","Pompholyx sulcata","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,1.04e-07,NA,"monthly",1,-0.275809364569067
"Lake Muggelsee","Synchaeta oblonga","SP",3,372,348,192,0.0645161290322581,2,344,"Germany","Lake","no",52.437,13.646,6.75e-06,0.037,"monthly",1,-0.0114227798331011
"Lake Muggelsee","Synchaeta pectinata","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,6.75e-06,0.037,"monthly",1,0.190942049699962
"Lake Muggelsee","Trichocerca similis","SP",3,477,462,381,0.0314465408805031,5,447,"Germany","Lake","no",52.437,13.646,1e-07,NA,"monthly",1,0.0225193537474229
"Narragansett Bay","Acartia.hudsonica","SP",3,177,168,75,0.0508474576271186,3,160,"RI, United States","Marine","yes",41.567,-71.384,5e-05,NA,"monthly",1,0.0333595689790335
"Narragansett Bay","Acartia.tonsa","SP",3,177,168,75,0.0508474576271186,3,160,"RI, United States","Marine","yes",41.567,-71.384,2e-05,NA,"monthly",1,0.224254535002146
"North Sea","Paralia.sulcata.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,3.14e-09,NA,"monthly",1,0.112032025018581
