Name,Site,Binomial2,Mass_g,MinAge_mo,dry_mass_ug,wet_mass_ug,vol_um3,Notes
Ceratium.longipes.,North Sea,Ceratium longipes ,8.51E-08,,,,85070,Nordic microalgae; now Tripos
Ceratium.macroceros.,North Sea,Ceratium macroceros ,6.53E-08,,,,65256,Nordic microalgae; now Tripos
Ceratium.tripos.,North Sea,Ceratium tripos ,0.0000005,0.14,,,,"Boulding, E. G., & Platt, T. (1986). Variation in photosynthetic rates among individual cells of a marine dinoflagellate. Mar. Ecol. Prog. Ser, 29, 199-203."
Chaetoceros.Hyalochaete..spp.,North Sea,Chaetoceros Hyalochaete  spp ,NA,NA,,,,"subgenus, seems to be a lot of variation among species"
Chaetoceros.Phaeoceros..spp.,North Sea,Chaetoceros Phaeoceros  spp ,NA,NA,,,,"subgenus, seems to be a lot of variation among species"
Cirripede.larvae..Total.,North Sea,Cirripede larvae  Total ,NA,NA,,,,
Coccolithaceae..Total.,North Sea,Coccolithaceae  Total ,NA,NA,,,,
Cyphonautes,North Sea,Cyphonautes,NA,NA,,,,
Decapoda.larvae..Total.,North Sea,Decapoda larvae  Total ,NA,NA,,,,
Dinophysis.spp..Total,North Sea,Dinophysis spp  Total,2.74E-08,,,,27427,chose largest size
Echinoderm.larvae,North Sea,Echinoderm larvae,NA,NA,,,,
Evadne.spp.,North Sea,Evadne spp ,0.0000079,,1.58,7.9,,"marine cladoceran; Semmouri, I., Mortelmans, J., Roland, C., Janssen, C. R., & Asselman, J. (2024). Decadal trends and dynamics in the abundance and biomass of marine branchiopods in the southern part of the North Sea. Journal of Marine Systems, 103992."
Fish.larvae,North Sea,Fish larvae,NA,NA,,,,
Gammaridea,North Sea,Gammaridea,NA,NA,,,,
Metridia.lucens,North Sea,Metridia lucens,0.00037,,74,370,,Lindley et al. 1997
Odontella.sinensis.,North Sea,Odontella sinensis ,1.00E-06,,,,1000875,Nordic microalgae
Oithona.spp.,North Sea,Oithona spp ,0.000024,1.05,,,,
Para.Pseudocalanus.spp.,North Sea,Para Pseudocalanus spp ,0.00017,0.753,,,,used values from pseudocalanus
Paralia.sulcata.,North Sea,Paralia sulcata ,3.14E-09,,,,3140,Nordic microalgae
Podon.spp.,North Sea,Podon spp ,0.0000098,,1.96,9.8,,"marine cladoceran; Semmouri, I., Mortelmans, J., Roland, C., Janssen, C. R., & Asselman, J. (2024). Decadal trends and dynamics in the abundance and biomass of marine branchiopods in the southern part of the North Sea. Journal of Marine Systems, 103992."
Proboscia.alata,North Sea,Proboscia alata,4.08E-07,,,,408200,Nordic microalgae
Protoperidinium.spp..,North Sea,Protoperidinium spp  ,3.04E-07,,,,304188,Nordic microalgae
Pseudocalanus.spp..Adult.Atlantic,North Sea,Pseudocalanus spp  Adult Atlantic,0.00017,0.753,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Rhizosolenia.imbricata,North Sea,Rhizosolenia imbricata,6.18E-08,,,,61819,Nordic microalgae
Scrippsiella.spp..,North Sea,Scrippsiella spp  ,9.03E-09,,,,9026,"Nordic microalgae; dinoflagellate, diameter about 20 um"
Silicoflagellates.,North Sea,Silicoflagellates ,3.35E-08,,,,33493,Nordic microalgae
Skeletonema.costatum.,North Sea,Skeletonema costatum ,1.88E-08,,,,18849,"Nordic microalgae; approx with cylinder 60 um high, 20 um diameter"
Thalassionema.nitzschioides.,North Sea,Thalassionema nitzschioides ,2.16E-09,,,,2160,Nordic microalgae;
Thalassiosira.spp..,North Sea,Thalassiosira spp  ,2.36E-07,,,,235500,Nordic microalgae;
Thecosomata..North.Atlantic.,North Sea,Thecosomata  North Atlantic ,NA,NA,,,,"sea butterflies, too broad"
Tintinnida.Total,North Sea,Tintinnida Total,NA,NA,,,,
Acartia.clausi,Port Erin Bay,Acartia clausi,0.000024,0.6333,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Biddulphia.mobiliensis,Port Erin Bay,Biddulphia mobiliensis,0.000000524,0.034,,,,"Trieres mobiliensis; size: Lavigne, A.s & Sunesen, Inés & Sar, Eugenia. (2015). Morphologic, taxonomic and nomenclatural analysis of species of Odontella, Trieres and Zygoceros (Triceratiaceae, Bacillariophyta) from Anegada Bay (Province of Buenos Aires, Argentina).. Diatom Research. 30. 10.1080/0269249X.2015.1110536. gen time: used B. regia of similar size; sphere estimate"
Biddulphia.sinensis,Port Erin Bay,Biddulphia sinensis,0.00000107,0.04806,,,,Baars 1981; sphere estimate
Centropages.hamatus,Port Erin Bay,Centropages hamatus,0.000077,0.6,,,,"Huntley Lopez 1992, worms, Cohen Lough"
