"Name","Site","Binomial2","Mass_g.x","MinAge_mo.x","Mass_g.y","MinAge_mo.y"
"Gastropod.larvae","Port Erin Bay","Gastropod larvae",NA,NA,NA,NA
"Guinardia.flaccida","Port Erin Bay","Guinardia flaccida",6.82e-08,0.034861111,NA,NA
"Harpacticoida","Wadden Sea","Harpacticoida",NA,NA,NA,NA
"Kellicottia longispina","Lake Geneva","Kellicottia longispina",2.5e-06,0.167,2.5e-06,0.167
"Kellicottia longispina","Lake Muggelsee","Kellicottia longispina",2.5e-06,0.167,2.5e-06,0.167
"Keratella cochlearis","Lake Geneva","Keratella cochlearis",2.75e-06,0.143,2.75e-06,0.143
"Keratella cochlearis","Lake Muggelsee","Keratella cochlearis",2.75e-06,0.143,2.75e-06,0.143
"Keratella quadrata","Lake Muggelsee","Keratella quadrata",8.75e-06,0.077,8.75e-06,0.077
"Lamellibranch.larvae","Port Erin Bay","Lamellibranch larvae",NA,NA,NA,NA
"Lauderia.borealis","Port Erin Bay","Lauderia borealis",2.25e-08,0.013472222,NA,NA
"Leptodora kindtii","Lake Geneva","Leptodora kindtii",0.000185,0.2,0.000185,0.2
"Leptodora kindtii","Lake Muggelsee","Leptodora kindtii",0.000185,0.2,0.000185,0.2
"MESOCYCLOPS EDAX","Lake Mendota (WI)","MESOCYCLOPS EDAX",NA,NA,NA,NA
"Medusoid.gonophores","Port Erin Bay","Medusoid gonophores",NA,NA,NA,NA
"Mesoc.edax","Lake Zurich","Mesoc edax",NA,NA,1.74e-05,0.573
"Mesocyclops leuckarti","Lake Muggelsee","Mesocyclops leuckarti",NA,NA,NA,NA
"Metridia.lucens","North Sea","Metridia lucens",NA,NA,NA,NA
"N_scintillans","Wadden Sea","N scintillans",NA,NA,NA,NA
"Noctiluca.miliaris","Port Erin Bay","Noctiluca miliaris",6.5e-05,0.167,NA,NA
"O_dioica","Wadden Sea","O dioica",NA,NA,NA,NA
"Odontella.sinensis.","North Sea","Odontella sinensis ",NA,NA,NA,NA
"Oithona.similis","Port Erin Bay","Oithona similis",2.4e-05,1.05,NA,NA
"Oithona_sp","Wadden Sea","Oithona sp",NA,NA,NA,NA
"Oithona.spp.","North Sea","Oithona spp ",NA,NA,NA,NA
"P_elongatus","Wadden Sea","P elongatus",NA,NA,NA,NA
"Para.Pseudocalanus.spp.","North Sea","Para Pseudocalanus spp ",NA,NA,NA,NA
"Paracalanus.parvus","Port Erin Bay","Paracalanus parvus",9.36e-05,0.62,NA,NA
"Paracalanus_sp","Wadden Sea","Paracalanus sp",NA,NA,NA,NA
"Paralia.sulcata.","North Sea","Paralia sulcata ",NA,NA,NA,NA
"Podon.spp.","North Sea","Podon spp ",NA,NA,NA,NA
"Polyarthra dolichoptera/vulgaris","Lake Muggelsee","Polyarthra dolichoptera/vulgaris",NA,NA,NA,NA
"Polyarthra sp","Lake Geneva","Polyarthra sp",6e-06,0.04,6e-06,0.04
"Polyarthra.spp.","Lake Kasumigaura","Polyarthra spp ",NA,NA,NA,NA
"Polychaete.larvae","Port Erin Bay","Polychaete larvae",NA,NA,NA,NA
"Pompholyx sulcata","Lake Muggelsee","Pompholyx sulcata",NA,NA,NA,NA
"Proboscia.alata","North Sea","Proboscia alata",NA,NA,NA,NA
"Protoperidinium.spp..","North Sea","Protoperidinium spp  ",NA,NA,NA,NA
"Pseudocalanus.elongatus","Port Erin Bay","Pseudocalanus elongatus",0.00017,0.753,NA,NA
"Pseudocalanus.spp..Adult.Atlantic","North Sea","Pseudocalanus spp  Adult Atlantic",NA,NA,NA,NA
"R_oktopunctata","Wadden Sea","R oktopunctata",NA,NA,NA,NA
"Rhizosolenia.imbricata","North Sea","Rhizosolenia imbricata",NA,NA,NA,NA
"Rhizosolenia.shrubsolei","Port Erin Bay","Rhizosolenia shrubsolei",9.51e-10,0.0278,NA,NA
"Rotatoria","Wadden Sea","Rotatoria",NA,NA,NA,NA
"Sagitta.bipunctata","Port Erin Bay","Sagitta bipunctata",0.012,1,NA,NA
"Scrippsiella.spp..","North Sea","Scrippsiella spp  ",NA,NA,NA,NA
"Silicoflagellates.","North Sea","Silicoflagellates ",NA,NA,NA,NA
"Skeletonema.costatum.","North Sea","Skeletonema costatum ",NA,NA,NA,NA
"Spionida_nektoch","Wadden Sea","Spionida nektoch",NA,NA,NA,NA
"Synchaeta oblonga","Lake Muggelsee","Synchaeta oblonga",NA,NA,NA,NA
"Synchaeta pectinata","Lake Muggelsee","Synchaeta pectinata",NA,NA,NA,NA
"Synchaeta sp","Lake Geneva","Synchaeta sp",6.75e-06,0.037,6.75e-06,0.037
"Temora.longicornis","Port Erin Bay","Temora longicornis",0.00012,0.687,NA,NA
"Thalassionema.nitzschioides.","North Sea","Thalassionema nitzschioides ",NA,NA,NA,NA
"Thalassiosira.spp..","North Sea","Thalassiosira spp  ",NA,NA,NA,NA
"Thecosomata..North.Atlantic.","North Sea","Thecosomata  North Atlantic ",NA,NA,NA,NA
"Tintinnida.Total","North Sea","Tintinnida Total",NA,NA,NA,NA
"Trichocerca similis","Lake Muggelsee","Trichocerca similis",NA,NA,NA,NA
"Trichocerca.spp.","Lake Kasumigaura","Trichocerca spp ",NA,NA,NA,NA
